이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
흑막 약혼자가 내 꽃길을 방해한다,kakaopage,"오월비, 4랑니",혀나,로판,연재중,목,290.7만,9.9,30,3,1일,"로맨스판타지,빙의물,다정남,왕족/귀족,순정남,소유욕/독점욕,능력녀,자상녀,악녀,사이다녀,오래된연인,힐링물","신탁을 잘못 해석해 탄생한 가짜 성녀제국을 속인 사기꾼가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀그게 원작에서의 내 역할이었다책 속에 환생했다는 것을 알게 된 후, 나는 결심했다이 나라에서는 도저히 더럽고 치사해서 못 살겠다답은 망명뿐이야망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다아무도 죽이지 않고, 아무도 시기하지 않고그런데, 뭔가 이상하다원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다이번엔 내가 안 그랬는데?",https://page.kakao.com/content/62932582
황녀님이 사악하셔,kakaopage,"TLB, 별다섯(ARC)","슈슈, 화솜",로판,연재중,금,"1,507만",9.9,123,4,3일,"로맨스판타지,육아물,먼치킨,성장물,환생물,초월적존재,능글남,연하남,능력남,직진남,사차원남,능력녀,상처녀,힐링물","나는 삼백 살이 넘는 마녀이지만, 믿었던 인간에게 배신당해 죽었다꼼짝없이 영혼계에 붙잡혀 있을 줄 알았는데 서로가 서로를 죽이는 황실에 황녀로 환생했다이렇게 된 이상 내가 황제가 돼야겠다 “너 내 부하가 대라”이렇게 했으니까 모두 나를 두려워하겠지, 생각했는데“한 번만 만져주면 안 돼? 네가 머리를 쓰다듬어줬다고 하면 모두가 부러워할 거야”…뭐야 왜 이래 “더 해 줘 귀여우니까”하지만 단체로 미쳤나, 싶을 정도로 내게 맹목적인 애정을 보이고 있다…나 황제 될 수 있겠지?",https://page.kakao.com/content/57280032
공포게임 남주와 감금당했다,kakaopage,억만장녀,피나타,로판,연재중,금,161.4만,9.9,27,3,3시간,"로맨스판타지,오해물,상처남,존댓말남,걸크러쉬,능력녀","공포게임 속 메이드가 되었다대저택에 갇혀 탈출하려는 남주에게 페널티를 주거나, 안내자 역할을 해주는남주의 플레이가 끝날 때까지 대충 의무만 이행하려 했는데“내가 나가기만 하면, 당신도 똑같이 가둬둘 겁니다”남주가 너무 시끄럽다이렇게 된 거 빨리 그가 탈출하도록 돕기로 했다“밥 먹자, 디트리히”“포션이야 이거 바르면 바로 나을 거야”“이번 탈출 힌트가 저기에……”다음 플레이를 위해 든든히 먹였고,남주가 다치면 빨리 다음 플레이를 하도록 포션을 주었고,대놓고 문제의 힌트도 주었다자, 이제 나갈 수 있겠지?그런데“글쎄 답을 잘 모르겠군요”머리도 잘 돌아가는 녀석이 이게 무슨 말이야?……남주가 도무지 저택에서 나갈 생각을 안 한다“네가 안 나가면 내가 나갈게”저 꼴 보기 싫은 놈을 계속 봐야 한다는 생각에 짜증이 나 홧김에 외쳤는데“당신 여기서 나갈 수 있는 것이었습니까?”그의 눈이 싸악 가라앉았다“말해두겠는데, 저는 여기서 나갈 생각이 없습니다”“뭐?”“그리고 당신도 못 나갑니다”대체 이게 어떻게 된 일이지?",https://page.kakao.com/content/63764693
이차원 용병,kakaopage,,발로,판타지,연재중,금,"4,456.3만",9.8,285,6,3시간,"게임,차원이동,레이드,빙의,시스템,노력,성장,이능력,플레이어,매니저","취직하고 싶습니까?영혼을 팔아서라도 취직하고 싶으십니까?그렇다면 잘 오셨습니다취업 정보 사이트 영팔이는 영혼을 팔아서라도일자리를 구하고 싶은 이, 바로 당신을 위한 곳입니다천사인가, 악마인가서른 살 백수 강철호는 정체 모를 그들과 계약을 했다영혼을 팔아서라도 돈, 그놈의 돈을 벌기 위해다른 차원의 계약자들에게 빙의하여,그들이 가장 절망하던 순간의 삶을 바꾸는 것그것이 강철호에게 주어진 사명, 미션(Mission)이다************************************************소설에서 다 풀지 못했던 이야기가지금 여기에서 펼쳐집니다[시즌1] 만화 김재환 [시즌2, 3] 만화 발로 [로고 및 표지 디자인] 디자인그룹 헌드레드************************************************웹툰 [이차원 용병]은 매주 금요일, 주1회 연재됩니다",https://page.kakao.com/content/50465822
부모님을 죽인 원수와 결혼했습니다,kakaopage,어기죽,어기죽,로판,일시적 휴재,금,295.3만,9.7,41,42,,"로맨스판타지,오해물,암투물,우연한만남,소유욕/독점욕,왕족/귀족,능력녀,외유내강,금단의관계,쌍방삽질,권선징악","항상 변치 않는 나의 영지에서진실로 사랑하는 사람과영원히 함께 할 수 있길 바란내 소원이 이루어진 생애 최고의 날그날이 내 생애 가장 비극적인 날이 되리라곤 상상조차 하지 못했다""왜 날 살려두었나요""""내가 그대를 사랑하기 때문입니다 루니에""사랑?내 부모님을 죽이고 가문의 영지를 빼앗은, 내 연인의 목숨을 쥐고 내 순정을 짓밟은 그가 사랑을 입에 담는다절대 용서할 수 없어반드시 이자가 저지른 악행을 알리고 죗값을 받게 하겠어",https://page.kakao.com/content/62042952
백작 영애의 애인을 꼬셔라,kakaopage,DIAN,MQ,로판,연재중,금,167.1만,9.9,72,4,3일,"로맨스판타지,타임슬립,오해물,성장물,회귀물,우연한만남,운명,천재,트라우마,다정남,카리스마남,능력남,능력녀,상처녀,계약관계","18살 마탑에 갇혀 황제에게 이용만 당하다가 회귀한 리델 크로스이번 생에는 절대 마법과 관련 없는 평범한 삶을 살 것이라 다짐하며, 백작가의 메이드가 되는 것까지는 좋았는데백작은 리델에게 밀레나 아가씨의 애인으로 소문난 그레이엄을 꼬셔 떼어내라는 명령을 내린다하지만 떼어내라는 놈이 회귀 전 황제와 너무 똑같이 생겨서 적응 안 되는 그레이엄? 얼굴만 봐도 벌벌 떨리는데 저 사람을 꼬시라니요",https://page.kakao.com/content/60221045
독보소요,kakaopage,,,무협,연재중,목,399만,9.3,344,5,2일,"퓨전,노력,먼치킨,무림,생존,성장,천재,검","하늘에서 뚝 떨어진 사내, 강지훈안 씨 가문의 아가씨, 안지연의 데릴사위가 되다?낯선 땅에 떨어지자마자 혼례를 올리게 된 지훈은 천화종의 장로에게 목숨을 위협받게 된다 기지를 발휘해 아수라장을 빠져나갔지만 사방에 위험이 도사리고 있는 그에게 믿을 건 수련 뿐밤낮없이 수련했지만 성과를 얻지 못한 그는 우연히 안 씨가문 내전에 의해지하궁으로 빠지게 되고 그곳에서 모든 이들이 탐내는 보물 '황금천서'를 발견한다 황금천서를 얻은 지훈, 그는 과연 천하제일의 고수가 되어 강호를 주름잡을 수 있을 것인가",https://page.kakao.com/content/54667189
공녀고 나발이고 집에 간다고,kakaopage,물길,휴즈독,로판,연재중,수,231.2만,9.9,23,3,3시간,"로맨스판타지,빙의물,여주판타지,운명,개그물,로맨틱코미디,성장물,초월적존재,까칠남,능글남,다정남,츤데레남,엉뚱발랄녀,걸크러쉬,치유물","로또에 당첨된 걸 확인하고 회사를 때려치우려고 했는데판타지 세상 속 공녀의 몸으로 들어와 버렸다당첨금 수령 기간은 1년무슨 수를 써서라도 그 전까진 집에 돌아가야 한다17억아, 엄마 금방 갈게 기다려아니, 그런데 이 가족들이 왜 이래?“널 사랑한단다”저 아저씨 딸 아닌데요“내 동생, 우리 막내 다칠 수 있으니까 내가 들어 줄게”그게 나를 들어 올린다는 뜻이었어? 뭐야, 이 거대 불곰은“한 번만 더 내 동생에게 까불었다간, 쥐도 새도 모르게 없애 주지”넌 얼굴도 예쁜 애가 무슨 말을 그렇게 험악하게 하니“너는 좀 아프지 마라”나한테 신경 꺼 뭔 오빠들이 이렇게 많아저 공녀 아니라고요 나 좀 내버려 둬 집에 가게",https://page.kakao.com/content/63855892
황제와 함께 타락하겠습니다,kakaopage,Tenichi,,로판,연재중,수,455.8만,9.8,97,4,1일,"로맨스판타지,복수물,회귀물,능글남,능력남,집착남,냉정남,능력녀,걸크러쉬,계략녀,사이다녀,삼각관계,드라마","""너도 타락하는 거다 그럼 모든 것을 이루어 주지""만약 그때 그의 손을 맞잡고 얌전히 정부가 되었다면, 나도 조금은 연명할 수 있었을까 적어도 눈이 도려내지는 아픔은 몰랐겠지   ""거절하겠어 난 조국을 배신하지 않아"" 10년이라는 시간을 회귀해 당신의 옆에 섰을 때 비로소 깨달았다 추락할 대로 추락한 우리는 아주 많이 닮아 있었고, 그게 당신이 내게 손을 내민 이유였다는 걸==============================글 : http://straightedgejp/그림 : https://sorajimajp/",https://page.kakao.com/content/60392503
나는 될 놈이다,kakaopage,,서윤교,판타지,연재중,수,"2,034.9만",9.8,206,3,3시간,"게임,깽판,방송,먼치킨,시스템,천재,고인물,대장장이/생산직,테이밍,성직자,만능","모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다 될 놈은 되게 되어있다 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책 행운으로 게임을 정복한다",https://page.kakao.com/content/53159236
마왕의 아이로 살아남는 법,kakaopage,어궁이,kwvh,로판,시즌 휴재,월,516.3만,9.9,53,3,3시간,"로맨스판타지,타임슬립,육아물,성장물,가족물,다정남,순정남,능력남,능력녀,걸크러쉬,사이다녀,로맨틱코미디,개그물,힐링물","세상이 멸망했다 또다시천 번에 가까운 회귀를 거듭하며 세계 멸망을 막아 보고자 아무리 용을 써도,나는 결코 결말을 바꿀 수 없었다이제는 지친다 회귀도 지긋지긋하다이번에는 몇 살로 회귀할까회귀 따위, 다시는 하고 싶지 않은데“으다앙”잠깐뭐야, 이 목소리는뭐야, 이 단풍잎처럼 작은 손은“누가 이런 갓난아기를 갖다 버린 거야?”이번 생은 갓난아기로 회귀해 버렸다그것도 세계를 수천 번 멸망시키고 있는 장본인인, 루카스의 저택 앞에서갓난아기라니 팔도, 목도 제대로 못 가누는 갓난아기라니아니지, 잠시 진정하고 생각해 보자이번 생이야말로 루카스 곁을 밀착 감시하면서 세계 멸망을 막을 수 있는 엄청난 기회일지도 모른다날 경계하고 긴장해라, 루카스이번엔 네놈이 이 세계를 멸망시키지 못하도록 할 테니까나는 소리를 높여 악랄하게 깔깔 웃었다아하하하하 아하하하하“까르르르”“어머나 우리 아기님은 웃음소리도 귀여우시네”젠장",https://page.kakao.com/content/60959717
마황귀환록,kakaopage,소명태극,소명태극,무협,연재중,화,565.6만,9.4,259,8,2일,"선계,고인물,귀환,마계,먼치킨,무림,복수,환생,왕족/귀족,지존","한 때, 구유 대제라 불리었던 적소 대왕, 고천랑선계와 마계 그리고 저승까지 평정했던 그였지만천계의 벌을 받아 죽을 위기에 놓이게 된다하지만, 자신의 법보였던 적멸고옥 덕분에 살아남게 되었고 적염령에서 깨어났을 때,그가 천계의 벌을 받음으로부터 몇 백년의 세월이 지난 뒤였다본래의 힘을 잃고 인간이 된 그였지만 자신을 벌한 천계에 복수하기 위해 여정을 떠난다",https://page.kakao.com/content/55783243
100만 년 만에 귀환하다,kakaopage,삼계동화,삼계동화,무협,연재중,화,147.8만,9.7,219,3,3일,"퓨전,귀환,먼치킨,무림,성장,환생","멀고도 아득한 세월, 백만 년 대륙이 갈라지고 끝없는 전쟁이 일어나는 동안 마강진은 속박의 땅에 갇혀있었다 해방되어 세상에 나온 그는 제자들이 그의 몸을 되찾기 위해 목숨을 내걸었다는 것을 알 수 있었고, 이에 복수를 다짐한다 우선 근처 문파에 의탁해 수련하며 실력을 기르기로 하는데, 마침 근처에 자신의 제자가 세운 문파, 영계종이 있다는 사실을 알게된다 제자가 없는 세월 동안 몰락 직전까지 간 영계종 마강진은 먼저 영계종으로 들어가 그곳을 부흥시키기로 한다 그러면서 그는 갇혀 있던 세월 동안의 실마리를 차근차근 풀어나가기 시작하는데",https://page.kakao.com/content/59492382
사상 최강 남주,kakaopage,ruohong,ruohong,무협,연재중,화,36.4만,9.7,233,5,3일,"먼치킨,빙의,생존,성장,천재","이세계 무협 세계관에 빙의한 주인공, 조강유그는 빙의하자마자 99번의 납치,32번의 죽을 고비를 넘긴다갖은 위기 속에서겨우 목숨을 부지한 그는 우연히'소요문(逍謠門)'에 들어가게 되고…""그런데, 알고보니 내가 이세계 최강자?""라는 설정처럼 엄청난 자질을 갖고 있다는 걸깨닫게 되는데…",https://page.kakao.com/content/58944301
환생불사,kakaopage,ciweimao,ciweimao,무협,연재중,화,89.3만,9.4,155,4,1일,"정통,깽판,노력,무림,빙의,시스템,조력자,환생,망나니,플레이어","과로사로 죽어버린 줄만 알았는데 눈을 떠보니 웬 무협 세계가?이대로 새 인생을 사는가 싶었더니 자칭 '잉여승천 시스템'이 나타나 열심히 살지 말고 잉여롭게 살다 죽어야만 다음 생에 최강이 될 수 있단다 단, 고의적인 사망은 제외안 돼 최강이 되어 삼천 후궁들을 맞이하려 했더니만잠깐, 그렇다는 건 피치 못하게 죽으면 돼좋아 그럼 어디 한번 열심히 죽어보자",https://page.kakao.com/content/58716301
묵향 다크레이디,kakaopage,이재헌,구깃,판타지,일시적 휴재,월,"9,464.1만",9.9,218,14,3시간,"차원이동,퓨전,생존,먼치킨,천재,노력,성장,이능력,초능력,명문세가,만능,마교","마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다 1999년부터 시작된 전설, 누계부수 300만부 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화 한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다",https://page.kakao.com/content/53216022
겨울성의 아기 죄수님,kakaopage,heeya,heeya,로판,연재중,화,753.5만,9.9,31,4,3시간,"로맨스판타지,육아물,성장물,가족물,까칠남,상처남,능력남,츤데레남,자상녀,상처녀,엉뚱발랄녀,능력녀,친구>연인,달달물,힐링물","나라는 패망하고, 왕족들이 모두 처형되던 날 밤당연히 자신도 죽을 것이라 생각했던 클라리스는뜻밖의 말을 듣게 된다""열여덟이 되지 않은 자를 사형에 처할 수는 없다대신 네가 열여덟이 되는 날, 나는 너를 죽일 것이다""그렇게 클라리스에게 주어진 십 년이라는 시간클라리스는 '죄수'의 신분으로서 북부로 향한다그리고 딱 한 가지를 대공에게 부탁하는데……""저, 이 친구를 데려가도 괜찮을까요?제 유일한 친구예요""클라리스가 내민 것은다름아닌 돌멩이인데?새로이 시작된 북부에서의 삶그런데 이 '죄수'로서의 생활이자꾸만 좋아진다……?",https://page.kakao.com/content/63517874
불멸의 투귀,kakaopage,옥한돌,옥한돌,액션,연재중,화,135.6만,9.7,108,68,3시간,"퓨전,전쟁,영웅/신화","차가운 한랭지옥의 아귀가 이승으로 넘어와사람들을 잡아먹는 시대하늘의 최고신 제석천과 그 아래의 사천왕이지옥의 아귀로부터 세상을 지킨다한데 그 최고신 제석천이 주인공 “나수아”의 동생을자신이 아꼈던 이의 환생자라며 데려가려는데나수아가 옷깃을 잡으며 이를 막아서자그것에 불쾌함을 느낀 제석천은 나수아의 팔을 잘라버린다나수아의 하늘에 대한 원한이한랭지옥의 반대편인 뜨거운 초열지옥에 닿았고,나수아는 초열아귀의 팔을 갖게 되는데사람도 아귀도 아니게 된 나수아동생을 되찾기 위해 지옥과 싸우는 하늘에게 맞서려 한다",https://page.kakao.com/content/60105810
악녀는 두 번 산다,kakaopage,피치베리(스토리웹툰),피치베리(스토리웹툰),로판,일시적 휴재,화,"6,728.2만",10.0,196,3,3시간,"로맨스판타지,회귀물,악녀,계약관계,다정남,능력남,왕족/귀족,외유내강,계략녀,권선징악","모략의 천재, 황제를 만들다""오빠가 잘되어야 너도 잘되는 거야""  온갖 악행을 저질러 오빠를 황제로 만들었다하지만 아르티제아의 헌신은 배신으로 돌아왔다죽음의 문턱에서 그녀에게 구원의 손을 내민 것은, 정의로운 숙적 세드릭 대공뿐이었다“계책을 내라”“……”“이 상황을 뒤집을 수 있는 인물을 나는 그대 외에는 떠올리지 못하겠어 로산 후작”“……”“나에게는 그대의 힘이 필요하다”이미 기울어진 세력 판도를 뒤집고 도탄에 빠진 제국을 구할 계책은 없다그러나 방법은 있다모든 것이 잘못되기 이전으로 시간을 돌리는 것피의 눈물과 함께 그녀는 자신의 몸을 바쳐 고대마법으로 시간을 돌린다이번에는, 실패하지 않으리라죽지 않고 18세로 회귀한 아르티제아는 세드릭 대공을 위한 악녀가 될 것을 결심한다“저에게 청혼해 주십시오 당신을 황제로 만들어 드리겠습니다”악마에게 무릎을 꿇은 대가로,당신은 당신 대신 손을 더럽힐 악마를 얻을 것입니다******************************************************************************한민트 작가님의 인기 로맨스판타지 소설<악녀는 두 번 산다>를 웹툰으로 만나보세요*******************************************************************************",https://page.kakao.com/content/55021766
어웨이크닝: 회귀 플레이어,kakaopage,MOKF,MOKF,판타지,연재중,월,151.3만,9.5,167,4,3일,"게임,차원이동,레이드,회귀,먼치킨,노력,플레이어","때는 2060년,가상현실 MMORPG 게임 [스카이 필드]가 오픈하면서세상 사람들은 이 게임에 열광하게 된다그 이유는 바로 이 게임에서 전직 후 [각성]이라는 것을 하게 되면현실에서도 게임 속 스킬을 구현하는 것이 가능하였기 때문이다하지만, [각성]은 불가능에 가까울 정도로 힘들었기 때문에만렙이 되어도 각성하지 못한 자들이 많았다게임 오픈 후 1년 늦게 시작한 주인공, 김성준은 각성자가 되기 위해엄청난 노력과 시간을 게임에 쏟아부었고 그렇게 만렙이 되었지만 그 1년 사이에수많은 유저들의 경쟁에서 밀려나게 되었고 게임 속에나 현실에서나 차가운 대접을받으며 세상의 부조리함을 느끼게 된다그러던 어느 날, 평소처럼 파티 사냥에 참가하여 게이트로 들어가게 되는데게이트에서 버그가 발생하는 전대미문의 사고가 발생하게 되고 김성준의 몸은 점차사라지게 되며 자신이 어떻게 되는지도 모르는 채 계정자체가 사라지게 된다다시 눈을 떴을 때, 그는 자신의 캐릭터와 닮은 몸이 되어있었고상황을 파악했을 때, 그는 [스카이 필드]가 오픈된 지 3개월 전인 시점으로돌아가게 되었다는 사실을 알게 된다현실에서도 게임에서도 혼자 외로이 세상과 싸워왔던 그는이번에야말로 만렙을 찍고 최강이 되어 '각성자'가 되기로 결심하는데",https://page.kakao.com/content/58409509
전설 헌터로 키워지는 중입니다,kakaopage,Beimuliuhuo,Cat Comics,판타지,연재중,월,492.8만,9.7,190,7,1일,"게임,레이드,복수,전쟁,생존,시스템,영웅/신화,마계,노력,성장,아티팩트,격투가,용사,초능력,플레이어","아버지의 누명을 벗기기 위해 ‘미끼’로 레이드를 뛰어 살아가는 차낙영 죽기 직전의 그 순간, 전설 헌터 육성 시스템이 발동했다[플레이어와 연결 완료, 전설 헌터 육성 시스템 ARES가 발동합니다]",https://page.kakao.com/content/58905085
신혼무제,kakaopage,"정의선생, DXD Animation",DXD Animation,무협,연재중,월,106.2만,9.6,206,4,2일,"노력,먼치킨,무림,성장,천재,명문세가","대봉 왕조의 강천 마을에 사는 소년 임찬 그가 각성한 신혼은 폐신혼으로, 뭇사람의 비웃음을 산다 그러나 그의 신혼인 ‘생사관’은 10대 신혼 중 하나로, 특별한 힘을 가진 특수 신혼이었는데 게다가, '생사관'에 자신의 영혼을 숨겨두었던, 능력과 미모를 갖춘 궁천설을 만나게 되면서 그녀의 도움으로 그는 신혼 무제의 자리까지 오르게 된다",https://page.kakao.com/content/56704800
나를 찾지 말아요,kakaopage,혼즈,사사야,로판,시즌 휴재,월,"8,476",10.0,26,4,,"로맨스판타지,애잔물,금단의관계,능력녀,걸크러쉬,냉정녀,상처녀,오만남,절륜남,나쁜남자,능글남,왕족/귀족,순정남,순정녀,가족후회물","정령을 보는 민족의 마지막 후손, 원수 집안의 후계자와 사랑에 빠지다정령의 힘을 다루는 유렌달 민족의 마지막 후손 유페미아 그녀는 무정한 가족을 벗어나 페레디트 공작부인의 간병인이 되고,그곳에서 만난 보좌관 시리우스와 사랑에 빠지게 되는데",https://page.kakao.com/content/63283944
화산권마,kakaopage,,진선규,무협,연재중,월,"1,801.5만",9.6,179,4,3시간,"정통,성장,무림,복수,영웅/신화","자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",https://page.kakao.com/content/56505406
후작가의 역대급 막내아들,kakaopage,케이,케이,판타지,연재중,월,"2,397.1만",9.7,109,8,3시간,"복수,귀환,깽판,환생,먼치킨,마검사,왕족/귀족,검사,마법사,전쟁,천재,조력자,퓨전,성장","명망있는 후작가의 막내아들 잭 발란티에남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐가문 따위야 멸문을 하든 말든 미련이 없었지만,누나의 죽음이 헛된 희생인 걸 알게 된 후,오로지 복수만을 위한 검귀가 되었다마침내 서대륙을 지배하는돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,다가온 죽음을 겸허히 받아 들였다그런데14살, 과거로 돌아왔다그래, 이건 후회뿐이던 과거를 바로 잡을 기회다이번 생엔 두 번 다시 내 사람들을 잃지 않겠다후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다***************************************넉울히작가님의 인기 웹소설 <후작가의 역대급 막내아들>을 웹툰으로 만나보세요***************************************",https://page.kakao.com/content/56760327
주인공의 여동생이다,kakaopage,하운드,콕,드라마,연재중,월,810만,10.0,80,3,3일,"일상물,판타지물,현대물,힐링물,영혼체인지/빙의,일상,전생/환생,환생물,회귀/타임슬립,가족,형제/자매/남매,고퀄리티,노블코믹,분량많은,사랑스러운","얼마전까지 나에겐 도저히 이룰 수 없을 것 같던 소원이 세 개 있었다‘실종된 큰오빠가 돌아오게 해주세요’‘작은 오빠가 균열 짐꾼을 그만둘 수 있도록 각성하게 해주세요’‘막내 오빠는…눈을 떠주기만 한다면…’더는 바랄 것 없이 행복만 가득할 거라고… 그렇게 생각했는데…“큭… 내 안의 어둠을 숨기기 위해 10년만 놀 테니 조금만 더 고생해라, 막내야”큰오빠는 중2병을 얻고 돌아왔다 “형이 10년만 논다니까 나도 10년만 놀게”작은오빠는 각성한 채로 미래에서 회귀했다(고 주장한다) “신의 총애를 받는 고귀한 혼을 모실 기회를 주마, 멍충한 돼지야”막내오빠는… 생각만 해도 골치 아프니 넘어가자“이 밥버러지 식충이들 당장 나가서 일하지 못해”더는 바랄 것이 없는 소녀가장 이보배의 앞길엔 행복이 가득할 수 있을까?",https://page.kakao.com/content/60350553
상사의 청혼,kakaopage,피피치(해피북스투유),플랜비(공감미디어),로맨스,일시적 휴재,월,382만,9.9,61,4,1일,"현대로맨스,오피스물,우연한만남,운명,신데렐라,첫사랑,다정남,능글남,상처남,능력남,달달물,로맨틱코미디,외유내강,철벽녀,자상녀","""방금, 뭐라고 하셨죠?""""결혼하자고요, 우리 반지가 여전히 빠지지 않으니까""대체 왜 이래요, 나한테**여느 때처럼 특별할 것 없던 주말, 새봄은 약속 장소에서 자신의 상사 류지헌 전무와 우연히 마주치고,얼떨결에 그가 건네준 반지를 끼고 '가짜 애인'으로 둔갑해 상견례를 마친다집에 온 새봄은 지헌이 막무가내로 끼워준 반지를 빼려 하는데 도무지 뺄 수가 없다 어쩔 수 없이 반지를 끼고 다니게 되는 새봄그 사이 지헌은 새봄에게 마음이 동하기 시작해, '비즈니스'를 가장한 청혼을 제안한다어느새 단단히 엮이기 시작한 둘, 그리고 여전히 빠지지 않는 반지 이 반지에는 새봄이 모르는 비밀이 담겨있다상처뿐인 사랑에 지쳐, 사랑을 외면하려는 두 남녀가유쾌하게, 그리고 지독하게 얽히는 오피스 로코",https://page.kakao.com/content/62107971
달빛이 내리는 검,kakaopage,,한송이,로맨스,일시적 휴재,월,12.2만,9.8,48,7,1일,"시대/역사로맨스,동양풍,다정녀,냉정남,정략결혼,미스터리,달달물,순정녀,능력남,츤데레남,대형견남","[매주 월요일 연재]천한 무희 출신 어머니의 죽음과 함께 12살에서 성장이 멈춘 5황녀 유리 쭉정이 황녀로 불리는 그녀는 황궁 구석에서 숨죽여 살던 중, 제국 서북부의 주인이자 살인귀로 악명이 높은 흑왕의 4번째 신부로 정해진다 3명의 황녀를 신부로 맞이했지만 연달아 죽음을 맞이해 신부 잡아먹는 귀신이란 별칭도 가진 흑왕과의 혼인 과연 이것은 유리 황녀에게 기회일까 아니면 또 다른 절망일까?",https://page.kakao.com/content/62756506
이번 생은 가주가 되겠습니다,kakaopage,앤트스튜디오,"앤트스튜디오, 몬",로판,연재중,월,1.4억,10.0,151,4,3시간,"로맨스판타지,육아물,성장물,회귀물,대형견남,능력녀","“…한번 해 보자 내가 가주가 되는 거야”제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한말그대로 제국의 역사 자체금수저 오브 금수저 인생 당첨앞으로는 탄탄대로일 거라 생각했는데…아버지는 돌아가시고, 친척들은 문전박대,거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,마차에 치여버리기까지“이건 해도 해도 너무하잖아…”하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?사랑하는 아버지를 다시 보는 것도 믿기지 않는데,내가 아버지와 가문을 살릴 수도 있다고?거기다 회귀 전 가문의 원수,2황자가 대형견마냥 졸졸 쫓아다니기까지?좋아, 이렇게 된 거 2황자도 가문도 다 내 거다환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트**************************[표지 및 타이틀 로고 디자인] 조정원**************************웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다",https://page.kakao.com/content/56566288
최애 구원 소녀,kakaopage,소소만,소소만,로맨스,연재중,월,17.7만,9.9,39,41,,"현대로맨스,연예계물,빙의물,운명,까칠남,상처남,짝사랑녀,직진녀,신분차이,사제지간,드라마","긴 입원 생활의 위로였던 노래를 흥얼거리는 ‘이여주’에게휴대폰 영상 속에서만 보던 아이돌 스타 ‘박재하’가 말을 건다“내가 도와줄게 수술비가 필요한 거지?”그렇게 ‘여주’의 생명의 은인이자 최애가 된 ‘재하’그러나 5년 후, 그는 극단적인 선택으로 생을 마감하고충격에 빠진 ‘여주’는 그를 살려달라 별똥별을 향해 소리친다소원이 이루어진 걸까, 그녀는 7년 전으로 돌아가 당시 탑 아이돌이자 오디션 프로그램 <나는 최강 아이돌>의 심사위원 ‘장보란’의 몸에 빙의하는데오디션 참가자 중엔 연습생 '박재하'가 있다“당신이 날 구원해 준 것처럼, 이번엔 내가 당신을 구할 거예요”",https://page.kakao.com/content/62473721
